batclustno,bowlclustno,0,1,2,3,4,6,out,balls
0,0,0.4057561369235194,0.3914751207727852,0.05928938220765751,0.003701289832860653,0.09978737436437891,0.03959562100593679,0.08005701385282651,8.679248032643544
0,2,0.39857858152782805,0.40637263826837716,0.06011488485271495,0.0036813051429183375,0.09366266492158641,0.037479525639853975,0.07231736127750293,8.40417310664606
0,3,0.39989103321818076,0.40583831735025927,0.057774530947061024,0.003549805653452212,0.0936138721955289,0.038919795020946744,0.07840522480700558,8.579535299374442
0,4,0.40613372036149564,0.39417169434015686,0.05823926247790641,0.004765703520232092,0.09808962805682192,0.038308377401506076,0.08755319703832025,7.881981544439048
0,5,0.41694362226968934,0.38997796186396094,0.058619555150436896,0.00331767064585648,0.09503372549919427,0.035677221576102904,0.08011648383355906,10.076451612903226
1,0,0.35438095238095235,0.4011904761904762,0.03785714285714285,0.0,0.11057142857142857,0.092,0.13233333333333333,3.58
1,2,0.5,0.0,0.0,0.0,0.5,0.0,0.25,2.0
1,3,0.41098901098901097,0.3547619047619047,0.1021978021978022,0.0,0.05128205128205128,0.08076923076923077,0.20512820512820512,3.5384615384615383
1,4,0.36473214285714284,0.39955357142857145,0.06875,0.0,0.08348214285714285,0.08348214285714285,0.0625,5.0
1,5,0.30391156462585034,0.47806122448979593,0.12738095238095237,0.0,0.04421768707482992,0.04642857142857143,0.11785714285714285,4.857142857142857
2,0,0.4603469762560672,0.45484790181759877,0.03301703907764514,0.0006313131313131314,0.032133200693806756,0.019023569023569022,0.10953783870450537,3.3737373737373737
2,2,0.5083333333333333,0.35,0.09166666666666666,0.05,0.0,0.0,0.175,1.9
2,3,0.390625,0.5729166666666666,0.015625,0.0,0.020833333333333332,0.0,0.03125,2.3125
2,4,0.6314285714285715,0.3019047619047619,0.06666666666666667,0.0,0.0,0.0,0.19666666666666668,3.0
2,5,0.4052721088435374,0.5173469387755102,0.02976190476190476,0.0,0.03571428571428571,0.011904761904761904,0.12916666666666668,2.607142857142857
3,0,0.38610010967852854,0.3832320880563321,0.06800243192098422,0.0022312344748004636,0.10662023976013917,0.053572583367902764,0.07941127071957246,10.515444015444016
3,2,0.34842817464225967,0.4645212798631975,0.06423953171522455,0.0027223736866440256,0.07902020162851962,0.04106843846415455,0.062223645054259445,10.524752475247524
3,3,0.3855378928692481,0.39584894412763477,0.05425233846316577,0.0013350188916812827,0.12637071710025222,0.03665508854801775,0.0698220564040977,10.089171974522293
3,4,0.4026991225652798,0.3877686965325578,0.0583770705823386,0.0018531822428583555,0.1086267644369923,0.0406751636399731,0.09683451595419353,8.8
3,5,0.38452252550882754,0.3799485969933016,0.07198234455643089,0.00046733569460842165,0.11371260855449963,0.049366588692331875,0.06355677756472038,10.787878787878787
4,0,0.6766666666666666,0.2733333333333333,0.05,0.0,0.0,0.0,0.2033333333333333,2.6
4,3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
4,4,0.5923611111111111,0.2534722222222222,0.12083333333333333,0.0,0.03333333333333333,0.0,0.28750000000000003,3.4166666666666665
4,5,0.6944444444444443,0.08333333333333333,0.05555555555555555,0.0,0.16666666666666666,0.0,0.2638888888888889,3.1666666666666665
5,0,0.5074801587301587,0.34315035273368605,0.046322751322751314,0.0007936507936507933,0.06803350970017637,0.03421957671957672,0.07573412698412697,5.0777777777777775
5,2,0.3669191919191919,0.597979797979798,0.011111111111111112,0.0,0.023989898989898988,0.0,0.021212121212121213,4.888888888888889
5,3,0.501993436670856,0.3873155518316808,0.043548387096774194,0.0,0.06253432946981334,0.004608294930875574,0.14842549923195084,3.903225806451613
5,4,0.41998556998557,0.3950731807874665,0.04047619047619048,0.0,0.14446505875077303,0.0,0.05398886827458256,4.095238095238095
5,5,0.4733657401626152,0.38498662795537797,0.04410996989121989,0.0,0.08005445075757575,0.017483211233211234,0.13735548305860806,5.875
